,train_result,test_list
890,215597,217409
891,206095,207874
892,206140,207584
893,208367,208551
894,208576,211824
895,207315,209493
896,202937,204129
897,203376,206339
898,211755,213671
899,206426,209385
900,208772,210157
901,207215,209443
902,198650,200099
903,209566,210051
904,212318,213151
905,208802,212602
906,212493,211061
907,206347,207897
908,217873,219952
909,219827,221930
910,209348,210253
911,221619,221704
912,218107,217876
913,215194,217357
914,212058,219779
915,209989,209582
916,210041,214686
917,208443,208997
918,208460,207934
919,208051,210494
920,214953,216193
921,209742,214989
922,225893,226715
923,217304,220686
924,219037,219571
925,214515,220398
926,204056,206301
927,214371,215514
928,211618,213326
929,209710,210112
930,212277,211645
931,206857,207302
932,206743,207046
933,213637,214256
934,208486,212145
935,205054,214080
936,201335,201983
937,212692,217232
938,212469,214382
939,216040,214162
940,214923,218807
941,216216,218114
942,208229,212637
943,202774,206468
944,207561,209123
945,219276,218064
946,212040,215105
947,199340,198454
948,206635,208674
949,205133,205381
950,194519,197765
951,213833,217962
952,211183,209217
953,216527,221763
954,214295,216013
955,208720,207244
956,220982,221376
957,207357,211749
958,210571,210353
959,222476,224104
960,211578,212325
961,214025,215172
962,217571,216868
963,209468,208021
964,211839,211789
965,216394,215281
966,223525,224345
967,220812,225182
968,218700,220321
969,217951,220583
970,214388,215029
971,211641,212623
972,225064,226922
973,220269,220469
974,223918,228748
975,225822,227974
976,227552,228699
977,226873,228216
978,221595,225046
979,224682,224765
980,232457,233796
981,218816,219295
982,225830,231552
983,223727,227202
984,207082,210726
985,205141,209219
986,203222,205127
987,203066,202487
988,207272,210393
989,208059,210880
990,205830,208089
991,210602,211540
992,199997,206427
993,204868,206484
994,201948,206290
995,204183,207299
996,210350,212385
997,215792,215280
998,215778,215162
999,215530,214910
1000,212550,215142
1001,210853,213952
1002,218450,223629
1003,211976,215735
1004,222949,223658
1005,220216,225327
1006,218301,222093
1007,210761,209064
1008,208662,210242
1009,214804,215883
1010,223815,227766
1011,211128,210902
1012,217944,221248
1013,216375,218521
1014,209449,213276
1015,201739,202420
1016,211586,218175
1017,209559,215229
1018,216929,221979
1019,206567,206936
1020,206201,210618
1021,215225,217836
1022,213374,210385
1023,222928,220502
1024,211430,211246
1025,219284,223142
1026,222703,226786
1027,209693,213340
1028,220009,223242
1029,217615,218763
1030,214790,216175
1031,213837,214186
1032,214849,217629
1033,209305,211293
1034,207853,209476
1035,204902,205428
1036,209888,213008
1037,207842,209298
1038,204900,214183
1039,207646,212696
1040,210794,217698
1041,212520,214232
1042,214479,216305
1043,221467,223332
1044,206357,207439
1045,213440,214641
1046,212162,215608
1047,208250,211062
1048,212419,213476
1049,206385,206722
1050,208440,211275
1051,206803,207103
1052,208375,211051
1053,210717,209715
1054,205889,208440
1055,218831,222471
1056,213150,212327
1057,211644,214660
1058,205769,207396
1059,207314,208543
1060,210667,211125
1061,212128,213725
1062,219569,219985
1063,219660,219622
1064,208444,206700
1065,212708,214603
1066,208502,210972
1067,219090,218900
1068,203468,204749
1069,199633,201036
1070,204643,205258
1071,209959,210152
1072,214916,213276
1073,206777,206861
1074,206445,208607
