start,stop,time
2019-06-27 02:29:32,2019-06-27 06:10:29,0 days 03:40:57.000000000
2019-06-27 06:20:30,2019-06-27 06:31:22,0 days 00:10:52.000000000
2019-06-27 06:41:29,2019-06-27 07:44:12,0 days 01:02:43.000000000
2019-06-27 08:25:52,2019-06-27 08:39:02,0 days 00:13:10.000000000
2019-06-27 08:52:09,2019-06-27 10:23:16,0 days 01:31:07.000000000
2019-06-27 10:34:16,2019-06-27 12:19:05,0 days 01:44:49.000000000
2019-06-27 12:57:25,2019-06-27 15:00:35,0 days 02:03:10.000000000
2019-06-27 15:10:36,2019-06-27 15:45:44,0 days 00:35:08.000000000
2019-06-27 15:55:57,2019-06-27 16:39:30,0 days 00:43:33.000000000
2019-06-27 20:30:42,2019-06-28 01:28:29,0 days 04:57:47.000000000
2019-06-28 01:38:36,2019-06-28 04:02:49,0 days 02:24:13.000000000
2019-06-28 04:12:50,2019-06-28 06:33:21,0 days 02:20:31.000000000
2019-06-28 06:43:22,2019-06-28 07:41:23,0 days 00:58:01.000000000
2019-06-28 08:35:31,2019-06-28 09:16:04,0 days 00:40:33.000000000
2019-06-28 09:26:05,2019-06-28 12:20:59,0 days 02:54:54.000000000
2019-06-28 12:57:18,2019-06-28 15:10:21,0 days 02:13:03.000000000
2019-06-28 15:20:22,2019-06-28 15:50:38,0 days 00:30:16.000000000
2019-06-28 16:00:42,2019-06-28 16:34:55,0 days 00:34:13.000000000
2019-06-28 16:45:00,2019-06-28 16:51:17,0 days 00:06:17.000000000
2019-06-28 20:34:57,2019-06-29 02:23:18,0 days 05:48:21.000000000
2019-06-29 02:33:21,2019-06-29 07:36:19,0 days 05:02:58.000000000
